Step,AgentID,Type,Current_Emissions,Total_Emissions,Efficiency,A_Star_Cost,Position
0,75,vehicle,0.0,0.0,0.7350417069839362,0.0,"(6, 5)"
0,76,vehicle,0.0,0.0,0.6068561045788798,0.0,"(14, 12)"
0,77,vehicle,0.0,0.0,0.6072764145322243,0.0,"(9, 10)"
0,78,vehicle,0.0,0.0,0.6412135153084398,0.0,"(17, 11)"
0,79,vehicle,0.0,0.0,0.612341964807358,0.0,"(19, 5)"
0,80,energy,0.0,0.0,0.6640735877564874,0.0,"(5, 7)"
0,81,energy,0.0,0.0,0.7694169402278213,0.0,"(9, 9)"
0,82,energy,0.0,0.0,0.888886357532838,0.0,"(7, 19)"
0,83,energy,0.0,0.0,0.6751997784101109,0.0,"(18, 10)"
0,84,energy,0.0,0.0,0.4952906121872936,0.0,"(1, 7)"
1,0,household,31.08703105392611,31.08703105392611,0.5908760485578084,35.539308071628476,"(15, 9)"
1,1,household,58.63162042679464,58.63162042679464,0.7163543449430726,68.77469755430248,"(12, 17)"
1,2,household,27.248922367125466,27.248922367125466,0.7540641584871441,32.29811733580374,"(7, 11)"
1,3,household,56.550429336792234,56.550429336792234,0.626139728652875,64.65988962779045,"(14, 0)"
1,4,household,57.7911075316905,57.7911075316905,0.7062646638970074,67.59895106002757,"(5, 8)"
1,5,household,24.44817336637012,24.44817336637012,0.6852816933533487,28.07548249431933,"(2, 10)"
1,6,household,35.56361771433629,35.56361771433629,0.8247803608876614,46.47001167487267,"(18, 2)"
1,7,household,43.43494539624904,43.43494539624904,0.786521492184264,50.19226343350891,"(8, 16)"
1,8,household,40.69244839663279,40.69244839663279,0.6282938399783995,44.09480540076869,"(6, 1)"
1,9,household,47.32981180823703,47.32981180823703,0.9943830928628392,55.8985971123257,"(10, 12)"
1,10,household,44.92005625154118,44.92005625154118,0.6933897211681812,49.38945778553584,"(19, 2)"
1,11,household,35.00584276120711,35.00584276120711,0.9809463045620685,48.13141966142153,"(11, 17)"
1,12,household,54.581162380785074,54.581162380785074,0.677191575012859,61.96459090300325,"(16, 1)"
1,13,household,36.492943595831456,36.492943595831456,0.8274861575635226,48.730437959062435,"(6, 14)"
1,14,household,36.64976167293665,36.64976167293665,0.5221071090003551,41.81267850574184,"(13, 5)"
1,15,household,27.66291719152486,27.66291719152486,0.7612356786440191,31.835962266259735,"(6, 2)"
1,16,household,55.01557705848808,55.01557705848808,0.7433328993293263,63.89685448241957,"(16, 5)"
1,17,household,42.259945628613615,42.259945628613615,0.6982351938423096,51.74111929021274,"(7, 14)"
1,18,household,27.431429599167014,27.431429599167014,0.5476316051207747,30.49695276699344,"(0, 19)"
1,19,household,36.692784047477325,36.692784047477325,0.9733628362421599,49.22796741654542,"(5, 8)"
1,20,household,40.009934126011636,40.009934126011636,0.804606227855263,44.25640257160033,"(9, 9)"
1,21,household,29.92959155294595,29.92959155294595,0.8992994590644097,36.7740490689927,"(4, 11)"
1,22,household,41.885049681248354,41.885049681248354,0.9049205540715131,48.78351870888097,"(3, 16)"
1,23,household,35.677528671664504,35.677528671664504,0.9543412795025381,48.333176456209884,"(12, 2)"
1,24,household,45.357031101603454,45.357031101603454,1.0,53.73915898679428,"(11, 18)"
1,25,household,35.940206442291114,35.940206442291114,0.9317293520940287,49.28143231752358,"(19, 14)"
1,26,household,53.588619140879835,53.588619140879835,0.7746456575830725,62.77235892338812,"(16, 9)"
1,27,household,45.40661573670394,45.40661573670394,0.8225515928988245,51.31989050044799,"(16, 15)"
1,28,household,28.140901871885333,28.140901871885333,0.8803649829596081,35.78274810457715,"(17, 2)"
1,29,household,33.62534426357569,33.62534426357569,0.8957691773863823,43.21946284371129,"(2, 3)"
1,30,household,32.21855547622204,32.21855547622204,0.5812734085025586,38.25938674168636,"(14, 7)"
1,31,household,32.81998903249209,32.81998903249209,0.7055618899677059,41.60888865970017,"(9, 5)"
1,32,household,29.08198077185032,29.08198077185032,0.9167440365306548,34.714490053468154,"(17, 3)"
1,33,household,43.035832152371874,43.035832152371874,0.6263341346195299,46.22231476758702,"(12, 14)"
1,34,household,55.115073692041186,55.115073692041186,0.7603937910354603,64.13056339474329,"(6, 13)"
1,35,household,37.8820255806608,37.8820255806608,0.6268414225888788,46.74696712067992,"(0, 7)"
1,36,household,24.702308872166366,24.702308872166366,0.672360535556213,28.737641803985692,"(12, 2)"
1,37,household,56.58755486616688,56.58755486616688,0.6352615524557472,64.39534107439731,"(3, 4)"
1,38,household,36.93988052773416,36.93988052773416,0.9794666847737703,51.14474995523997,"(4, 12)"
1,39,household,21.056752262661682,21.056752262661682,1.0,26.101198819913954,"(12, 4)"
1,40,business,212.90963481258953,212.90963481258953,0.7023702446044642,240.69149503335072,"(17, 13)"
1,41,business,237.10765643299456,237.10765643299456,0.5131350146085483,260.9953515928922,"(10, 15)"
1,42,business,258.52556465717186,258.52556465717186,0.6431534098769156,291.3648816532468,"(4, 2)"
1,43,business,259.0485610866063,259.0485610866063,0.6573643879661235,292.7897784512574,"(6, 7)"
1,44,business,239.89496252122947,239.89496252122947,0.6477178652602757,276.2287635604149,"(3, 9)"
1,45,business,280.02124905963564,280.02124905963564,0.5654453807319165,314.11303403758836,"(4, 5)"
1,46,business,314.6644420136058,314.6644420136058,0.7023830345044706,362.83166504627013,"(4, 11)"
1,47,business,222.0781670874352,222.0781670874352,0.3886289771336002,238.7767127294041,"(6, 14)"
1,48,business,238.12225159357496,238.12225159357496,0.4704452141446517,260.4253074444955,"(6, 8)"
1,49,business,255.43560470050085,255.43560470050085,0.5908095005312018,284.5219747920491,"(18, 9)"
